IR0_meas,IR1_meas,IR2_meas,IR3_meas,IR0_cam,IR1_cam,IR2_cam,IR3_cam
141,351,941,947,26.2,14.2,3.2,3.2
141,351,941,947,26.2,13.2,3.2,4.2
141,351,941,947,25.24,12.22,4.21,5.21
141,351,941,947,25.2,12.2,4.2,5.2
141,351,941,947,25.21,12.2,4.2,5.2
146,449,938,905,25.2,12.2,4.2,5.2
146,449,938,905,25.21,12.2,4.2,5.2
146,449,938,905,25.2,12.2,4.2,5.2
146,449,938,905,25.29,12.25,4.23,5.23
143,380,940,943,26.25,13.23,3.21,4.21
143,381,940,943,26.21,13.21,3.2,4.2
143,382,940,943,26.24,13.22,3.21,4.21
143,381,940,943,26.23,13.22,3.21,4.21
143,381,940,943,26.22,14.21,3.21,3.21
143,381,940,943,26.22,14.21,3.21,3.21
143,381,940,943,26.21,15.21,3.2,2.2
143,381,940,943,27.25,16.23,2.21,1.21
137,301,943,958,27.28,16.25,2.22,1.21
137,301,943,958,27.22,17.22,2.21,0.2
137,301,943,958,27.24,16.23,2.21,1.21
137,301,943,958,27.24,16.23,2.21,1.21
137,301,943,958,27.21,17.2,2.2,0.2
137,301,943,958,27.25,17.24,2.21,0.21
137,299,943,958,27.22,17.21,2.2,0.2
137,299,943,958,27.21,17.2,2.2,0.2
137,299,943,958,27.22,17.21,2.2,0.2
137,299,943,958,27.24,17.23,2.21,0.21
137,299,943,958,27.23,17.22,2.21,0.21
137,299,943,958,27.3,17.27,2.22,0.21
137,299,943,958,27.27,17.25,2.21,0.21
138,301,943,958,27.28,17.25,2.22,0.21
138,301,943,958,27.24,17.23,2.21,0.21
138,301,943,958,27.24,17.23,2.21,0.21
138,301,943,958,27.35,17.3,2.23,0.22
138,301,943,958,27.3,17.27,2.22,0.21
138,301,943,958,27.23,17.22,2.21,0.21
138,301,943,958,27.23,17.22,2.21,0.21
138,301,943,958,27.24,17.23,2.21,0.21
138,301,943,958,27.24,17.23,2.21,0.21
138,301,943,958,27.31,17.28,2.22,0.22
138,301,943,958,27.3,17.27,2.22,0.21
138,301,943,958,27.31,17.28,2.22,0.22
138,301,943,958,27.35,17.3,2.23,0.22
138,301,943,958,27.35,17.3,2.23,0.22
139,302,943,958,27.35,17.3,2.23,0.22
139,302,943,958,27.31,17.28,2.22,0.22
139,302,943,958,27.3,17.27,2.22,0.21
139,302,943,958,27.35,17.3,2.23,0.22
139,302,943,958,27.31,17.28,2.22,0.22
139,302,943,958,27.25,17.24,2.21,0.21
139,302,943,958,27.31,17.28,2.22,0.22
139,302,943,958,27.28,17.25,2.22,0.21
139,302,943,958,27.31,17.28,2.22,0.22
139,301,943,958,27.37,17.32,2.24,0.23
139,302,943,958,27.3,17.27,2.22,0.21
139,302,943,958,27.25,17.24,2.21,0.21
139,302,943,958,27.3,17.27,2.22,0.21
139,302,943,958,27.24,17.23,2.21,0.21
139,302,943,958,27.37,17.32,2.24,0.23
139,302,943,958,27.27,17.25,2.21,0.21
139,302,943,958,27.33,17.29,2.23,0.22
139,302,943,958,27.27,17.25,2.21,0.21
138,301,943,958,27.3,17.27,2.22,0.21
139,302,943,958,27.24,17.23,2.21,0.21
139,302,943,958,27.27,17.25,2.21,0.21
139,302,943,958,27.33,17.29,2.23,0.22
138,301,943,958,27.28,17.25,2.22,0.21
139,302,943,958,27.3,17.27,2.22,0.21
138,301,943,958,27.35,17.3,2.23,0.22
139,301,943,958,27.37,17.32,2.24,0.23
139,302,943,958,27.3,16.26,2.22,1.22
139,302,943,958,26.25,15.23,3.21,2.21
139,302,943,958,26.25,15.23,3.21,2.21
139,302,943,958,26.21,14.21,3.2,3.2
144,378,940,944,26.24,14.22,3.21,3.21
144,378,940,944,26.28,14.25,3.22,3.22
144,379,940,944,26.23,14.22,3.21,3.21
144,378,940,944,26.22,14.21,3.21,3.21
144,378,940,944,25.36,13.3,4.25,4.25
144,378,940,944,25.34,12.28,4.24,5.25
144,378,940,944,25.36,11.28,4.25,6.26
152,523,934,733,24.34,10.27,5.25,7.26
151,524,935,730,24.29,10.24,5.23,7.24
151,524,935,730,24.29,10.24,5.23,7.24
152,524,935,730,24.4,10.3,5.27,7.28
152,524,935,731,25.2,11.2,4.2,6.2
152,524,935,731,26.95,14.25,4.73,4.73
152,524,935,731,26.64,10.09,6.5,5.24
152,524,935,731,20.12,7.06,2.32,6.35
209,861,949,198,19.46,7.33,0.71,7.06
208,859,949,198,19.01,7.11,0.61,8.27
209,859,949,198,19.74,7.47,0.78,6.48
209,859,949,199,19.01,7.11,0.61,8.27
209,860,949,199,18.14,7.21,1.75,10.12
218,929,944,190,18.14,6.12,1.75,10.12
218,929,944,190,18.15,6.13,1.76,10.09
218,929,944,190,18.14,6.12,1.75,10.1
218,929,944,190,18.14,6.12,1.75,10.1
218,929,944,190,18.37,6.23,1.82,9.41
164,412,917,937,22.77,12.56,7.45,5.41
164,412,917,937,22.61,13.48,7.38,4.34
164,412,917,937,22.56,13.44,7.36,4.32
164,412,917,937,23.27,14.25,6.23,3.22
164,412,918,937,25.14,16.59,6.96,2.68
164,412,918,937,29.59,14.15,3.81,1.34
164,412,918,937,29.87,13.86,3.68,1.39
140,406,936,943,29.87,13.86,3.68,1.39
140,405,935,943,30.34,13.4,3.47,1.48
140,406,936,943,29.87,13.86,3.68,1.39
140,406,936,943,30.34,13.4,3.47,1.48
140,406,936,943,29.59,14.15,5.53,2.57
140,406,936,943,29.59,14.15,5.53,2.57
140,406,936,943,28.3,11.75,6.78,3.99
140,406,936,943,28.3,11.75,6.78,3.99
151,458,917,626,28.3,11.75,6.78,3.99
151,458,917,626,29.12,12.16,7.07,3.87
151,458,917,626,27.92,12.42,7.48,5.03
151,458,917,626,27.92,12.42,7.48,5.03
151,458,917,626,27.92,12.42,7.48,5.03
160,501,859,484,26.24,11.54,7.85,5.32
160,500,858,483,26.64,11.75,7.75,5.24
160,500,858,483,26.64,11.75,7.75,5.24
160,500,858,483,27.42,12.16,7.58,5.1
160,500,858,483,26.59,16.85,6.02,2.78
160,500,858,483,24.29,17.27,5.23,0.22
160,500,858,483,24.24,17.23,5.21,0.21
160,500,858,483,24.22,17.21,5.21,0.2
